doc_id,item,category,amount,price,discount
LTV60HN23E,телевизор,электроника,2,431.52,64.03
CK79F0NJR3,набор гаечных ключей,инструменты,2,921.74,448.86
0NHCL5A4MC,фитнес-браслет,здоровье и спорт,2,746.94,81.35
U38UES3NN2,ботинки,обувь,5,415.82,486.61
EID49T7Z6P,кастрюля,посудa,3,582.98,306.78
I8TG5ND1RX,ручка,канцтовары,1,939.34,243.52
IHXMAGF7X6,альбом для рисования,канцтовары,5,702.03,6.14
14L9YWSIZ4,полотенце,текстиль,1,899.24,21.57
IH8010JL9X,стол,мебель,2,730.95,87.16
H2V1YVKSLX,гантели,здоровье и спорт,2,212.77,91.62
PD5V161Q6W,дрель,инструменты,2,726.14,368.12
NL94KOPG8S,витамины,здоровье и спорт,3,247.72,154.95
8DU8THZ16C,масло моторное,автотовары,1,504.35,90.12
GUDZZO322E,туалетная вода,косметика,2,206.95,36.02
QIZ7HOWSPF,средство для мытья посуды,бытовая химия,2,33.69,15.51
Q4VW118C8P,кастрюля,посудa,5,512.81,38.47
VJDR8QJM3I,кровать,мебель,1,936.09,14.2
E24Y195CDQ,пила,инструменты,3,985.89,117.32
QSIO233299,фитнес-браслет,здоровье и спорт,4,164.02,100.0
BUMSAM70G1,телевизор,электроника,4,764.3,603.1
JVRO2K0AM2,молоко,продукты,4,256.32,17.72
AINZ3YSRDY,кастрюля,посудa,1,720.3,135.74
FUD6RJX8B3,телевизор,электроника,2,547.82,63.62
EBGJ65NNWU,наушники,электроника,2,731.72,35.4
ETYWZD1N63,чистящее средство,бытовая химия,2,121.85,63.55
5QETSUNGY7,ложка,посудa,1,853.3,4.24
67V5KJPSRA,спортивная бутылка,здоровье и спорт,2,998.88,294.02
9C3L9O0YTC,спортивная бутылка,здоровье и спорт,3,789.21,403.52
E3MLXUEW4L,сыр,продукты,2,552.37,24.29
GJP5QYRJVT,кондиционер,сезонные товары,3,962.38,469.96
JJ9DJK2XG2,отвертка,инструменты,2,680.18,385.37
J0GAFPUU0E,морозилка,сезонные товары,3,491.25,289.54
A8F4IGLHFL,джинсы,одежда,3,749.57,49.2
B7922J6M4X,игрушки,товары для детей,2,427.24,244.29
P1FKG2X7MN,смартфон,электроника,3,616.43,514.87
A7B6PTRSV3,набор гаечных ключей,инструменты,1,826.48,244.25
GWYMOX4TNK,молоток,инструменты,1,686.09,172.51
4UFOB68V9G,обогреватель,сезонные товары,3,656.33,32.83
38TKQ3LWLR,спортивная бутылка,здоровье и спорт,2,489.07,28.05
8YOQGR15QI,гантели,здоровье и спорт,2,434.94,69.97
OIB2TN99GQ,столовый набор,посудa,1,94.9,24.14
L023FQ14JI,стол,мебель,4,45.09,27.33
NS806IOJHC,обогреватель,сезонные товары,1,952.01,93.96
JVA3OHZVZQ,запчасти,автотовары,1,387.44,56.53
ATXMH98MIF,маркер,канцтовары,3,375.8,298.8
D9MNXBQJ41,фрукты,продукты,5,152.37,210.35
RTPS50ZVYA,витамины,здоровье и спорт,2,653.68,167.16
9E5FJY3V73,тарелка,посудa,3,623.16,314.01
I60OWOHFKH,фрукты,продукты,1,864.71,208.12
5SZJU2R4RH,кресло,мебель,2,277.28,119.83
