doc_id,item,category,amount,price,discount
NCGUNYTZAP,рождественские украшения,сезонные товары,5,652.45,201.72
11DMC7C1B1,молоко,продукты,2,862.29,47.73
5KTN4ZZ64B,обогреватель,сезонные товары,3,899.2,239.73
R54L0N6SK7,йога-коврик,здоровье и спорт,1,309.43,74.17
LOGF4Z7YC5,морозилка,сезонные товары,5,825.06,446.84
G8IOS7UQGL,футболка,одежда,5,916.78,144.47
6A6GGGG9L4,масло моторное,автотовары,2,623.87,80.42
9EPMFMA68T,фитнес-браслет,здоровье и спорт,2,57.91,12.42
WFL71WGZRO,книжки,товары для детей,2,976.46,416.24
J8NGC6KF6U,шампунь,косметика,4,693.66,527.0
BL3OLHDZFQ,наушники,электроника,5,481.3,403.04
UA84OL4CHF,спортивная бутылка,здоровье и спорт,5,972.45,1443.46
NEJ7TXJ2PG,сандалии,обувь,5,369.91,295.44
9WBULF109Y,дрель,инструменты,4,763.38,619.36
WC92GJZ9ED,автомобильный пылесос,автотовары,2,610.42,91.54
JNYG5GM6FR,зонтик,сезонные товары,2,282.77,164.53
PKRSO0PFWA,чистящее средство,бытовая химия,5,434.14,627.81
P6HA5JR4II,фитнес-браслет,здоровье и спорт,4,503.85,389.52
2624C5GA5V,лампочка,электроника,5,24.97,2.31
KO306UJVBX,полотенце,текстиль,2,191.25,10.45
9FBSS6ZT1T,подгузники,товары для детей,1,50.35,14.11
HDORYI26FY,памперсы,товары для детей,5,130.76,151.28
7KIRW11RQ8,колбаса,продукты,1,857.96,73.98
9U1YO874Y4,сандалии,обувь,1,610.18,119.75
TQODUCT853,смартфон,электроника,3,189.68,164.43
XQHT4HE554,средство для мытья посуды,бытовая химия,1,402.24,113.23
C63QGWBPW9,автомобильный пылесос,автотовары,2,601.33,238.36
DMB43QSBGG,куртка,одежда,4,990.56,948.13
RL819LT6D1,освежитель воздуха,бытовая химия,5,787.7,641.29
Z5NEZ0X2OC,сандалии,обувь,3,431.12,45.88
RNP1WD6U8E,зарядное устройство,электроника,4,691.68,63.27
QVUV7PJQ45,сыр,продукты,1,37.41,8.28
JPLG22602C,книжки,товары для детей,5,389.81,86.85
8R6HS19K6J,подгузники,товары для детей,2,957.0,352.99
5E7N3HYG4C,набор гаечных ключей,инструменты,3,176.36,129.69
YSLL0JQEVB,зонтик,сезонные товары,4,881.63,796.64
2451NGZBGS,отвертка,инструменты,4,446.87,323.05
LGJ376LXUF,туалетная вода,косметика,1,739.69,65.88
E7X4MPHKED,смартфон,электроника,2,273.59,39.5
1GYQJQCJ1K,туалетная вода,косметика,5,90.88,77.65
9HDRCU6N1S,масло моторное,автотовары,2,919.43,509.5
YNV5ROPIIA,книжки,товары для детей,4,769.77,426.5
4H3UTK6A3C,джинсы,одежда,2,119.35,50.77
6K4W4UV9RV,футболка,одежда,2,44.06,25.19
O4JHG1G9AA,моющее средство,бытовая химия,3,61.0,5.64
69MFUIMQL4,сандалии,обувь,3,184.41,0.69
3WV2EKTJ99,молоток,инструменты,3,952.78,597.58
M68UEK5HYT,зонтик,сезонные товары,3,83.94,53.95
9AJKLPF9G3,тетрадь,канцтовары,4,570.52,311.3
GG2VNKEDQH,набор гаечных ключей,инструменты,2,634.58,368.49
