doc_id,item,category,amount,price,discount
QJ1772QMVC,пила,инструменты,3,773.5,365.03
00L05SUKBW,помада,косметика,5,213.33,109.92
P2C17OQ6O0,футболка,одежда,3,809.69,727.16
J5QBKIYI12,шампунь,косметика,5,44.02,44.65
ZEV8814F9Y,шкаф,мебель,5,810.19,107.75
0W7DR42B4C,набор гаечных ключей,инструменты,5,572.48,662.84
C1MZJWV06S,платье,одежда,5,721.78,590.76
DEBBVZOY9R,спортивная бутылка,здоровье и спорт,4,502.7,458.47
I90I5FUWBL,полотенце,текстиль,1,930.91,244.72
U7IYHNWQ04,ложка,посудa,4,966.98,380.48
T86YJM8NIQ,лампочка,электроника,3,221.12,115.27
3PJUWYM9LC,смартфон,электроника,4,126.14,145.41
PRCKAAMKWO,книжки,товары для детей,5,594.66,118.84
I2ITYJXHIS,наушники,электроника,3,482.82,111.14
7EKN0RQP90,шкаф,мебель,4,786.89,939.36
JLMCEAZBL2,колбаса,продукты,4,89.58,44.04
67PVSG5RTI,автомобильный пылесос,автотовары,3,906.33,374.65
0HLD8O7D0C,наушники,электроника,1,166.69,47.54
YW1YN0S4RI,молоко,продукты,3,150.08,3.73
6XKTJ48QHW,книжки,товары для детей,3,435.23,298.53
IBVUYAPSIC,наушники,электроника,2,259.28,84.58
4OS6RIEM2X,морозилка,сезонные товары,5,964.34,717.58
YRSLZKH13N,простыни,текстиль,2,85.18,27.22
5C8V6LP7IT,тарелка,посудa,5,431.97,354.17
QUX6Y9S98G,спортивная бутылка,здоровье и спорт,3,910.88,457.86
IFF2I9644C,шторы,текстиль,2,722.88,387.26
V3CUPW42KT,лампочка,электроника,1,776.09,189.1
EMVFR3RLNB,игрушки,товары для детей,2,869.93,462.5
0G7VRB7MSO,колбаса,продукты,1,542.66,126.95
9ACAPU3HQB,куртка,одежда,4,256.29,261.02
48GSYKJPYX,тушь для ресниц,косметика,2,433.58,249.63
SHV2VWR9VA,шкаф,мебель,5,155.9,86.54
JBOR5IF4FI,отвертка,инструменты,3,260.36,21.14
WT8RUR1GKV,тушь для ресниц,косметика,2,153.29,65.7
TVODKURBSB,полотенце,текстиль,1,933.33,190.36
3H6NKSNSDL,памперсы,товары для детей,2,194.44,91.52
8LFOXZJRIU,шкаф,мебель,2,42.48,21.47
W9PSMFX6D7,детское питание,товары для детей,2,101.93,37.11
EC1HQFPDBZ,вилка,посудa,2,475.55,26.04
PJ32WHKT03,зарядное устройство,электроника,5,273.38,196.46
R8LSEM9N3W,спортивная бутылка,здоровье и спорт,4,950.58,11.04
NTH5CF9GZL,сыр,продукты,2,170.57,79.96
ZYDR5SWZ32,тарелка,посудa,2,779.21,422.1
G5QE69AA7K,полотенце,текстиль,2,28.51,8.76
C4JRWSZDUA,фрукты,продукты,4,515.26,432.67
GXLL9TNUKI,ботинки,обувь,5,759.09,622.46
YVJ86B0G6T,набор гаечных ключей,инструменты,5,408.41,605.01
TMSVVA10F3,молоко,продукты,4,458.17,424.99
GUTRLZFKJE,ботинки,обувь,5,815.83,1169.25
R5MSXPNGLS,смартфон,электроника,4,817.94,709.43
