doc_id,item,category,amount,price,discount
434BVKGPXQ,кондиционер,сезонные товары,3,256.01,26.5
HO917MJPE2,крем для лица,косметика,2,717.44,174.68
W8RN7779W1,масло моторное,автотовары,5,970.37,1309.02
ODWAB9C7T3,хлеб,продукты,5,658.94,633.63
TMEHRL2EQI,кроссовки,обувь,3,266.99,176.8
E81BMDA6OX,освежитель воздуха,бытовая химия,1,893.07,97.84
V62V1OY8M4,полотенце,текстиль,5,830.61,147.2
ZX544VUIR9,платье,одежда,5,636.23,368.8
41OJ2KC4UF,кондиционер,сезонные товары,2,499.21,167.82
RDSHIE04YF,сыр,продукты,2,31.12,13.19
X8K4K0ZL42,отвертка,инструменты,3,954.3,660.08
KVP71AGHWF,куртка,одежда,1,217.96,16.12
4ZTZJAYNXC,сандалии,обувь,3,638.63,375.5
T3VWUU19D5,средство для мытья посуды,бытовая химия,4,247.36,122.81
NYL81MRNYJ,платье,одежда,1,712.34,205.98
1DFYFNQVRF,простыни,текстиль,4,776.63,66.0
UP05JQSWY9,игрушки,товары для детей,3,157.64,20.44
LPWW5UNYDV,кресло,мебель,4,546.06,347.88
UT79KTYHBB,кондиционер,сезонные товары,1,868.55,28.16
4GIXP8M0TR,скатерть,текстиль,1,484.23,21.87
J4O0M0Y1VB,кровать,мебель,1,611.13,148.27
U6A7AEDZCQ,клей,канцтовары,2,508.12,254.09
IRFN9DXN9K,ботильоны,обувь,4,543.53,305.12
IUAV1W84RD,дрель,инструменты,4,814.63,577.29
AJ958T5SFS,джинсы,одежда,1,456.84,8.47
C7KVV43B1O,лампочка,электроника,1,650.13,15.7
JD4SVXBRC5,крем для лица,косметика,4,817.39,500.86
H87UGLAMO1,простыни,текстиль,1,797.2,6.06
E8AKERDRXR,детское питание,товары для детей,3,205.93,100.27
4YTR5SHBVF,кастрюля,посудa,3,862.3,541.35
276HSMZJCF,книжки,товары для детей,2,777.95,116.34
VM6AG6462E,средство для мытья посуды,бытовая химия,5,670.89,887.46
5W7O6N6NW7,столовый набор,посудa,1,258.16,70.13
1R1G4R8MJ3,крем для лица,косметика,4,381.84,73.68
GH05O1HFS9,пила,инструменты,2,623.45,123.79
LR9L3TTKKX,сыр,продукты,2,435.01,52.76
XL3N7DC38L,джинсы,одежда,2,293.14,80.59
9WXT70YTET,вилка,посудa,2,556.98,279.43
BOM8ARHG75,полотенце,текстиль,2,194.76,109.05
MHCA4PLQ12,дрель,инструменты,2,221.01,11.53
LN161H87VY,автомобильный пылесос,автотовары,3,308.02,258.92
08U5Z7NWBR,насос для шин,автотовары,2,809.79,390.83
UGGYPQOO4U,запчасти,автотовары,1,165.67,35.61
JXBGGWXPS7,наушники,электроника,2,896.59,34.05
YFRFSL05MZ,пила,инструменты,5,157.73,205.99
PUA1PWEO3J,тетрадь,канцтовары,5,134.05,79.88
8DK7MBIOD5,помада,косметика,4,766.74,469.61
G9TR8VPFB0,ручка,канцтовары,4,889.94,298.33
C0BB5EN3ID,столовый набор,посудa,4,127.89,130.98
NSW2DENP70,средство для мытья посуды,бытовая химия,2,775.22,18.76
