doc_id,item,category,amount,price,discount
KAP3AOOK4Q,витамины,здоровье и спорт,3,638.62,418.66
7P9191JY38,чистящее средство,бытовая химия,4,772.11,839.65
A532X6LC1M,шампунь,косметика,5,488.13,543.3
Q204HN2270,джинсы,одежда,4,767.48,831.92
WLLQX1BTBI,вилка,посудa,3,474.14,164.49
UDZQK4GF06,зарядное устройство,электроника,1,32.58,3.37
HITLK1FHNY,рождественские украшения,сезонные товары,5,912.07,1144.18
PMRQOCIUVA,масло моторное,автотовары,1,383.0,40.05
ZFWGZGFQG4,йога-коврик,здоровье и спорт,4,21.58,4.55
3WZYLX5SX9,отвертка,инструменты,5,695.7,944.66
N9M9FGMBQN,наушники,электроника,1,372.53,27.04
N2C4TYVQ27,насос для шин,автотовары,4,982.89,1171.24
42OBWNS39O,наушники,электроника,3,602.8,185.74
FWLXB41OX9,дрель,инструменты,1,118.17,29.03
I83YHR8HO0,сыр,продукты,4,307.69,49.72
1QG42U6KF9,моющее средство,бытовая химия,5,169.87,89.95
0U4C6TM13E,тетрадь,канцтовары,3,963.15,83.69
QOP8FJBPHD,детское питание,товары для детей,5,841.95,748.3
K5V9B9RAF7,джинсы,одежда,5,995.73,34.47
KFU2XN43ZP,средство для мытья посуды,бытовая химия,1,131.52,10.46
62968BFMQK,ручка,канцтовары,1,750.89,84.55
02D1VUPXYW,футболка,одежда,5,241.67,244.98
465ZYM3U84,альбом для рисования,канцтовары,2,697.59,204.9
4WQZAAONTE,туалетная вода,косметика,3,551.75,225.91
CU4ZZOYHHR,сандалии,обувь,1,164.9,17.6
ZZ9KK4BC6U,зарядное устройство,электроника,1,436.56,69.01
433QHZ8U4O,йога-коврик,здоровье и спорт,5,805.79,476.79
GI4WROZH6C,джинсы,одежда,1,391.4,21.71
SE5QIXRUQY,столовый набор,посудa,4,635.76,573.52
9OXN26MOQP,средство для мытья посуды,бытовая химия,4,791.87,90.78
QV9RI8556V,ложка,посудa,2,62.72,4.12
QTCYUOSH5J,шампунь,косметика,3,516.44,200.53
OHHGFRCOLV,толстовка,одежда,2,430.99,12.37
2DDPWFCGAY,маркер,канцтовары,3,407.12,241.93
F82WQ3DMZT,ручка,канцтовары,2,477.76,18.22
MTXX7XNJSR,ручка,канцтовары,2,872.82,14.11
2UNNK8IVJQ,овощи,продукты,2,515.64,169.28
ILHK9YGL8G,ботильоны,обувь,4,645.09,428.87
DXXCMV7OJV,простыни,текстиль,5,41.92,61.13
TBTQVSKE3Z,пила,инструменты,5,765.9,355.53
1JIOZDN0MX,столовый набор,посудa,5,403.06,163.31
JNPZ952TFG,шампунь,косметика,1,251.78,2.65
VKVFPB1OX3,обогреватель,сезонные товары,5,609.08,834.8
3QK9POJG6Z,йога-коврик,здоровье и спорт,5,930.67,393.87
E3BVR8Y3J6,ложка,посудa,4,183.47,75.8
4PLESIPUKV,подгузники,товары для детей,1,492.9,111.4
G0TYPKYYK9,памперсы,товары для детей,4,584.12,535.9
6SRVAJN16P,хлеб,продукты,4,132.98,105.96
RSL7D3LYI0,кровать,мебель,3,500.77,382.67
SELBQXUA5F,кровать,мебель,1,985.51,1.26
