doc_id,item,category,amount,price,discount
HUQI045DUL,кровать,мебель,5,23.28,3.73
3HFU2X5AKE,молоко,продукты,1,321.0,40.22
0FIZLL5PGO,вилка,посудa,4,135.99,100.77
WQBP6K28DT,спортивная бутылка,здоровье и спорт,5,738.37,1005.79
2ZT3DR7VMD,кастрюля,посудa,3,429.29,13.97
WSKTO6IP2K,тарелка,посудa,3,998.8,730.95
E2NDTR763Z,смартфон,электроника,4,346.43,221.53
XV2EWNZT7Y,шкаф,мебель,1,571.93,98.19
LDX2T3BMBC,туалетная вода,косметика,1,290.05,58.18
71PGO6OZ7J,телевизор,электроника,1,644.16,51.0
7BVZ9AKFJT,фрукты,продукты,2,665.83,43.97
H4DQPYNZO4,гантели,здоровье и спорт,4,522.73,121.42
PLY5H7WJBU,фрукты,продукты,4,110.77,72.85
4LY2HSEQI8,молоток,инструменты,2,64.42,34.04
LG5LW83AFE,кроссовки,обувь,1,847.42,132.58
FLWSK2RECO,маркер,канцтовары,3,139.59,68.62
QS3J85QEQJ,отвертка,инструменты,5,292.69,242.05
610VBREZJE,автомобильный пылесос,автотовары,4,558.15,263.68
1CW5HJ0QV2,столовый набор,посудa,5,951.57,1244.93
SUSRHVGT94,наушники,электроника,2,92.16,45.88
789TGT1MCE,куртка,одежда,1,35.6,0.59
YBY7929YXI,насос для шин,автотовары,1,849.17,214.06
CD5EV6RLWB,ботильоны,обувь,1,128.45,30.28
HRJL4H11IN,пила,инструменты,2,768.29,45.62
JJQ3QELAOD,туалетная вода,косметика,4,542.73,220.6
YTAYOIPVNN,насос для шин,автотовары,4,742.98,432.05
Y0LE5OIIV4,наушники,электроника,5,752.43,347.13
YOD2PI934K,рождественские украшения,сезонные товары,1,718.09,51.02
KQC0O86GQ4,освежитель воздуха,бытовая химия,2,189.11,59.6
ZGNHR25ZBN,скатерть,текстиль,2,216.82,32.57
ITN790V49K,наушники,электроника,1,148.67,2.58
GCZ43U3830,овощи,продукты,1,427.72,89.59
2PXR9RLUX7,кроссовки,обувь,1,133.54,13.18
RW7V4HONH5,молоко,продукты,2,94.12,41.06
PLTGXOP3MI,автомобильный пылесос,автотовары,4,528.12,529.67
GNWCC9DVFV,чистящее средство,бытовая химия,1,501.62,88.97
KSLUE8K5HL,витамины,здоровье и спорт,1,751.71,206.56
AT1S9A6AW7,кастрюля,посудa,3,791.8,408.17
1E02XG2NC3,крем для лица,косметика,4,389.82,124.9
CGX2WH2JFM,вилка,посудa,5,106.28,15.45
LM98WBRU55,средство для мытья посуды,бытовая химия,1,581.24,83.54
UM2X7ZA20K,альбом для рисования,канцтовары,3,486.98,163.17
BPQ17PMBHO,крем для лица,косметика,3,431.81,143.85
CHAD96XBXB,игрушки,товары для детей,1,454.22,25.81
72IOMCQDZG,лампочка,электроника,3,127.91,13.27
KEM9NVS2Y4,маркер,канцтовары,2,118.0,52.7
O802LY53A2,освежитель воздуха,бытовая химия,3,78.45,26.31
M56W2V7MZF,тушь для ресниц,косметика,1,865.98,84.93
6P0NJSWAJQ,куртка,одежда,2,304.0,48.02
NSJHDH6OHR,ботинки,обувь,1,79.99,14.22
