doc_id,item,category,amount,price,discount
O2FAW6GUW1,средство для мытья посуды,бытовая химия,4,856.69,277.99
Q41CF238H0,чистящее средство,бытовая химия,3,230.84,130.64
HGGASL3EGD,автомобильный пылесос,автотовары,2,912.54,160.95
30W0MUQ2WB,кроссовки,обувь,3,739.22,26.8
EM8F540HMD,ручка,канцтовары,2,234.95,105.84
35L9VY4WI9,футболка,одежда,3,970.79,437.02
XHF99K84F4,молоко,продукты,1,132.88,23.27
IOUVHXJCW9,морозилка,сезонные товары,3,446.57,88.45
UW5BCSZDN3,сыр,продукты,3,971.89,630.81
1PWMS1Q86C,ботильоны,обувь,3,619.92,315.48
SQPP52QUUK,автомобильный пылесос,автотовары,2,330.22,112.48
JEXTZYOU8H,помада,косметика,2,729.33,183.74
2O9ROECTON,фрукты,продукты,2,851.41,8.47
NVZ4SVF9PY,альбом для рисования,канцтовары,2,831.25,257.99
49OUIOH66U,хлеб,продукты,5,809.09,954.12
MRXCU95304,кастрюля,посудa,5,458.17,521.34
LWPR9XTTYU,зонтик,сезонные товары,5,347.75,95.85
FNKAYUZKLW,толстовка,одежда,4,377.07,356.75
MIBEYCSMNC,кондиционер,сезонные товары,4,47.02,54.49
BKKBG84CXZ,кастрюля,посудa,5,825.24,1102.15
E1C6X5CL74,тапочки,обувь,1,905.93,129.07
D8N42S9VQT,хлеб,продукты,5,873.96,446.09
26O5QWRBZ3,маркер,канцтовары,3,510.24,279.62
F4TULESD6W,молоток,инструменты,2,204.88,94.0
UBX8CY2E2Q,шкаф,мебель,2,443.53,187.18
M4K2XAB1A5,моющее средство,бытовая химия,4,863.33,317.82
MR30OAZOFV,крем для лица,косметика,4,700.63,50.63
3M0C6SNQIE,шкаф,мебель,4,173.79,121.65
5J8PPQODV1,футболка,одежда,3,33.39,18.54
ZQJJLGA5S1,кондиционер,сезонные товары,4,310.95,95.11
JW3E0VAJ9Q,лампочка,электроника,3,31.83,22.17
XZ16BKZQN7,обогреватель,сезонные товары,4,558.19,191.39
EUFCOWK5W3,колбаса,продукты,1,538.35,138.79
G220OLGONW,шторы,текстиль,2,516.48,257.68
PGANY6CAU6,йога-коврик,здоровье и спорт,3,910.82,424.86
74RK01METR,овощи,продукты,3,744.01,230.44
GT154ICGAH,наушники,электроника,3,877.12,636.39
0AEUABJO0I,набор гаечных ключей,инструменты,3,853.12,334.55
BATJ1L6N7C,ботильоны,обувь,5,366.05,547.86
MTWTKVN579,кресло,мебель,3,845.54,416.75
6Z2A7VYYHA,стол,мебель,2,153.97,50.4
25ROX3I2KR,витамины,здоровье и спорт,5,232.11,303.65
0KSYB6YSNC,моющее средство,бытовая химия,1,299.75,12.51
CNJQMXYI53,помада,косметика,4,322.46,381.81
F1VR6J3Q6V,смартфон,электроника,3,565.13,126.74
OXRK502ELJ,хлеб,продукты,2,470.15,2.12
2SP5WG1BI8,хлеб,продукты,3,352.68,275.56
UXD6LVDR47,помада,косметика,1,204.0,31.78
HRUBHD4HK5,помада,косметика,2,387.46,88.06
JYY46BY4RX,средство для мытья посуды,бытовая химия,5,47.24,11.7
