doc_id,item,category,amount,price,discount
M4B8TG3F1L,джинсы,одежда,1,646.55,186.08
Z47I6IBENK,покрывало,текстиль,5,82.07,49.21
5S6N791H1F,сандалии,обувь,3,588.09,179.07
WVIFYS22K8,колбаса,продукты,4,890.21,949.96
HSWB1GJUER,отвертка,инструменты,4,167.44,136.31
NURSWL43CW,кондиционер,сезонные товары,5,906.11,539.95
YZPGU1KZT3,зарядное устройство,электроника,3,478.59,259.57
9FBUU7J5Q7,кондиционер,сезонные товары,3,549.56,380.02
GB38N8UMYY,универсальный пятновыводитель,бытовая химия,2,907.37,311.35
NHBVSIB2K4,книжки,товары для детей,4,366.4,236.11
4GZUVC1KCN,кроссовки,обувь,1,647.13,139.11
QWSYHCUYAZ,тапочки,обувь,2,787.77,25.26
ATBA97TTSQ,альбом для рисования,канцтовары,3,133.27,29.79
X5ZN471WLQ,молоток,инструменты,1,79.91,11.09
FOADDKH44Q,аксессуары для авто,автотовары,4,579.21,76.05
R7Z19TKPT1,рождественские украшения,сезонные товары,1,207.79,8.57
FG5NXX3OPY,зонтик,сезонные товары,1,685.24,89.36
TQ39OAF0N6,набор гаечных ключей,инструменты,5,446.24,53.07
09D2RYAVF0,лампочка,электроника,3,136.63,75.23
UQT424PXW0,смартфон,электроника,4,586.22,322.55
7A4AEG5PQG,спортивная бутылка,здоровье и спорт,3,679.19,71.1
FBN4J67TXH,сыр,продукты,1,487.94,5.52
U1UEQK4QJM,кресло,мебель,3,699.54,497.61
SU6DSJLP57,сыр,продукты,4,561.99,386.62
JJZLHG6Y1C,полотенце,текстиль,4,192.54,84.61
EDE11XSSDU,масло моторное,автотовары,1,154.44,15.84
DO9XZNH1HR,альбом для рисования,канцтовары,1,342.16,68.86
R8BIWYOOX6,кроссовки,обувь,4,51.82,22.85
2AZ8KHKDXZ,отвертка,инструменты,5,600.32,677.18
WQTXNWKPSW,ручка,канцтовары,2,737.28,9.51
OX5I5JZWMK,ботинки,обувь,5,368.76,414.99
G97IQURQ9D,полотенце,текстиль,4,602.08,440.47
65JSD93UAP,толстовка,одежда,3,338.62,121.77
TJTR5G0GLT,вилка,посудa,1,852.41,162.36
OXPWQ8DZH4,молоко,продукты,5,799.45,355.22
TPK9TV6UBO,фитнес-браслет,здоровье и спорт,2,517.22,144.36
7TT2EEMZHL,наушники,электроника,1,262.13,68.72
2KFEI9XX7J,помада,косметика,4,663.83,655.5
7U78INWQ6L,зарядное устройство,электроника,2,187.56,0.39
05G4OPWZXK,набор гаечных ключей,инструменты,4,962.72,107.51
UK1ZG7KBQ8,шампунь,косметика,3,651.12,402.74
0MUCGZIDPT,стул,мебель,4,978.65,1131.34
C2L3MBAMMC,запчасти,автотовары,1,412.84,47.35
1UXZRF72AI,пила,инструменты,5,778.27,186.49
XNQHBM1CHT,колбаса,продукты,5,168.69,175.38
WVM7FNRVME,колбаса,продукты,3,240.8,72.69
Q6FP7P3YM2,тапочки,обувь,5,216.96,18.48
D0K7Z2G891,сандалии,обувь,4,115.61,67.2
MXWJPVMAXU,моющее средство,бытовая химия,4,773.24,409.21
9MEZKZ56CN,освежитель воздуха,бытовая химия,2,54.11,12.5
