doc_id,item,category,amount,price,discount
3LNGTR5VU9,гантели,здоровье и спорт,2,204.89,95.85
VLT4SFOX6O,фитнес-браслет,здоровье и спорт,5,479.78,525.82
WE0M7ZOM5A,ручка,канцтовары,3,882.56,603.9
ICCCYR98EH,ботильоны,обувь,3,859.11,80.85
4886UDWMUH,кроссовки,обувь,4,690.35,247.48
Q14PGCHNRK,книжки,товары для детей,2,217.44,58.33
GMDOGZ3SUM,автомобильный пылесос,автотовары,1,812.34,92.27
36WY5COB46,лампочка,электроника,4,169.87,12.09
9HSWNRLWE8,помада,косметика,1,255.66,1.95
K5GK11C6CE,детское питание,товары для детей,2,741.83,41.11
V3XSD1TRL9,колбаса,продукты,3,451.83,310.23
60CK5SD3SB,вилка,посудa,4,513.78,547.82
B9G8YNXZ21,автомобильный пылесос,автотовары,3,540.19,87.57
568MKX919K,сыр,продукты,4,906.06,567.18
SH5D0VR2RB,морозилка,сезонные товары,4,649.33,630.62
O0MWNCK55Y,кроссовки,обувь,1,743.68,49.96
JBEX73YNWS,запчасти,автотовары,3,609.82,193.05
MCM994GGUO,фитнес-браслет,здоровье и спорт,1,317.11,62.08
5OR47M9IRE,джинсы,одежда,4,147.72,19.58
E2C3S2RPS5,шкаф,мебель,1,343.87,12.66
0PISTPCT9A,кондиционер,сезонные товары,4,411.5,218.46
H41IDS8186,наушники,электроника,3,817.34,393.87
9VEFXXI7JZ,тарелка,посудa,3,476.4,407.06
7V4OEROBA2,фитнес-браслет,здоровье и спорт,1,807.53,181.59
JDRP5H9XTZ,спортивная бутылка,здоровье и спорт,3,881.28,68.09
2HBKI75TUK,покрывало,текстиль,3,801.73,224.79
1FBS4YLDA7,платье,одежда,1,132.86,29.27
H8MCUX2C2T,кровать,мебель,4,184.8,156.78
01QGJX8YZ6,отвертка,инструменты,1,371.7,34.41
1HY1EP3F1L,стол,мебель,1,328.56,10.91
VH74HHTFIB,памперсы,товары для детей,1,509.16,10.4
G5UX8E25BN,набор гаечных ключей,инструменты,4,377.34,233.56
SNCQA1PAZJ,покрывало,текстиль,4,53.94,1.42
AZNJEXM72S,морозилка,сезонные товары,1,194.33,26.79
8YOLI7XFBF,тапочки,обувь,5,101.0,94.47
UQD3JJ45WK,альбом для рисования,канцтовары,4,298.58,231.44
2OC5QY0L15,столовый набор,посудa,1,839.75,31.07
1XJNBXASD5,скатерть,текстиль,1,610.77,19.7
TTBY3QQOLI,зарядное устройство,электроника,2,17.76,8.65
1DBR1S0ERB,обогреватель,сезонные товары,4,636.27,594.43
DCUXYET8OD,зарядное устройство,электроника,3,992.44,502.35
F7G3JR2ONX,маркер,канцтовары,4,578.36,355.24
4TIP7EFMVT,футболка,одежда,4,497.64,214.25
L0PRM4HKGI,стул,мебель,4,516.19,228.67
PDQ2W3E8N5,морозилка,сезонные товары,1,706.17,8.01
6MG0K5ALS2,наушники,электроника,3,797.21,495.3
KBSQGS1MF7,простыни,текстиль,4,76.0,21.3
68N2XT6AOJ,отвертка,инструменты,2,374.29,206.53
WBQ8GII3NY,набор гаечных ключей,инструменты,1,152.22,11.05
6KMQLXYGAJ,фитнес-браслет,здоровье и спорт,4,326.63,22.49
