doc_id,item,category,amount,price,discount
L7EV166PS4,набор гаечных ключей,инструменты,5,95.27,126.26
E6ZJJH48GC,фрукты,продукты,2,959.1,439.1
YFFIOBTKIP,фитнес-браслет,здоровье и спорт,5,72.02,13.52
WK4P5BG46M,аксессуары для авто,автотовары,1,12.01,0.25
L8NMPJWJMH,ручка,канцтовары,4,75.2,75.66
FTN86X1L9W,столовый набор,посудa,2,804.47,165.27
5171W5920A,обогреватель,сезонные товары,3,268.53,39.11
CSR5LYDJPN,маркер,канцтовары,3,401.82,14.84
5NPDE1000S,шторы,текстиль,3,980.29,369.41
OR5SIFTNBM,ручка,канцтовары,4,683.56,509.58
HH7W9SYPO4,освежитель воздуха,бытовая химия,3,738.04,519.11
FU92IEKB7M,книжки,товары для детей,2,275.93,70.92
974WFPVLQC,тетрадь,канцтовары,5,324.26,329.39
5YCZVZBICA,лампочка,электроника,4,532.16,228.25
LQWMNKNFU6,помада,косметика,4,698.9,234.87
ULBBOEQMD5,молоток,инструменты,3,970.08,454.47
2GDVUQ3O61,тапочки,обувь,1,844.39,229.31
ZSF6BQPI2K,телевизор,электроника,1,454.49,91.79
MNW9LG2OBG,покрывало,текстиль,2,475.69,67.11
A87UNT10M7,морозилка,сезонные товары,3,417.14,188.34
OR1ZE545UO,детское питание,товары для детей,1,243.78,3.12
KUOUKCW9BX,масло моторное,автотовары,3,36.82,32.73
C0LXHE742H,полотенце,текстиль,5,236.51,222.35
PJWKJZWLF0,столовый набор,посудa,4,913.17,981.88
2KTFVBGFX9,молоко,продукты,4,456.45,371.03
HQT4E5L3T4,лампочка,электроника,4,36.25,0.36
3SOHFM8JW3,смартфон,электроника,2,400.45,159.37
OQRWHE2G12,зонтик,сезонные товары,3,539.91,350.08
FT14P4RP3I,аксессуары для авто,автотовары,2,564.26,107.37
5O46H73H20,наушники,электроника,4,152.93,58.31
S5WIZ2JJ3L,зонтик,сезонные товары,2,196.03,73.44
YTS0JNSF81,морозилка,сезонные товары,2,881.01,296.14
BI83YWU0BS,автомобильный пылесос,автотовары,2,887.88,378.45
8B74KTIU88,фрукты,продукты,5,214.6,213.18
BL82A10MJG,телевизор,электроника,2,313.5,98.6
31QTJTEA0V,игрушки,товары для детей,1,842.87,173.02
L7FNV1L1EQ,набор гаечных ключей,инструменты,5,484.73,232.72
LLZDRZQWJF,кастрюля,посудa,4,828.78,796.2
CYW24PCM7S,помада,косметика,4,796.66,924.9
BKE15VCPAJ,фрукты,продукты,5,760.01,89.56
PVK9WXSW3K,зарядное устройство,электроника,1,219.06,47.0
8J544PZJZ9,освежитель воздуха,бытовая химия,2,456.61,251.73
E45J0SX0Y3,обогреватель,сезонные товары,4,266.11,13.51
N2DTDALNZ3,лампочка,электроника,3,250.45,201.26
4N9MKFAAGC,обогреватель,сезонные товары,1,145.48,32.63
L4X1TP3EZJ,крем для лица,косметика,4,220.86,24.8
4D6PFQEXXC,простыни,текстиль,4,599.43,497.29
8EQ67VLC3N,столовый набор,посудa,2,181.37,26.1
HWGNR98GQY,овощи,продукты,4,348.75,220.73
6XA8L4RXFJ,освежитель воздуха,бытовая химия,3,175.55,84.75
